entity,P172
Q45467330,Q42740
Q45467393,Q42740
Q45467471,Q42740
Q45467586,Q42740
Q45467648,Q42740
Q45467711,Q42740
Q45467856,Q42740
Q45467901,Q42740
Q45468092,Q42740
Q45468350,Q42740
Q45468480,Q42740
Q45474931,Q42740
Q45474975,Q42740
Q45474996,Q42740
Q45475175,Q42740
Q45475248,Q42740
Q45475283,Q42740
Q45475410,Q42740
Q45475441,Q42740
Q45475505,Q42740
Q45475539,Q42740
Q45475569,Q42740
Q45475685,Q42740
Q45475698,Q42740
Q45475750,Q42740
Q45475796,Q42740
Q45475823,Q42740
Q45475989,Q42740
Q45476001,Q42740
Q45476064,Q42740
Q45476114,Q42740
Q45476128,Q42740
Q45476176,Q42740
Q45476189,Q42740
Q45476254,Q42740
Q45476304,Q42740
Q45476329,Q42740
Q45482943,Q42740
Q45483198,Q42740
Q45483324,Q42740
Q45484027,Q42740
Q45484280,Q42740
Q45624129,Q42740
Q45489722,Q42740
Q45489851,Q42740
Q45489915,Q42740
Q45490031,Q42740
Q45490159,Q42740
Q45490233,Q42740
Q45490425,Q42740
Q45484346,Q42740
Q45484663,Q42740
Q45484792,Q42740
Q45484921,Q42740
Q45484987,Q42740
Q45485119,Q42740
Q45485501,Q42740
Q45485543,Q42740
Q45485629,Q42740
Q45463697,Q42740
Q45464054,Q42740
Q45464118,Q42740
Q45464203,Q42740
Q45464370,Q42740
Q45464491,Q42740
Q45464704,Q42740
Q45464953,Q42740
Q45501943,Q42740
Q45502006,Q42740
Q45502072,Q42740
Q45502260,Q42740
Q45502387,Q42740
Q45502453,Q42740
Q45502644,Q42740
Q45502707,Q42740
Q45502902,Q42740
Q45503223,Q42740
Q45503354,Q42740
Q45485756,Q42740
Q45486137,Q42740
Q45486201,Q42740
Q45486264,Q42740
Q45486964,Q42740
Q45487091,Q42740
Q45473245,Q42740
Q45473288,Q42740
Q45473373,Q42740
Q45473416,Q42740
Q45473534,Q42740
Q45473620,Q42740
Q45473661,Q42740
Q45473749,Q42740
Q45473913,Q42740
Q45473996,Q42740
Q45474036,Q42740
Q45474096,Q42740
Q45474177,Q42740
Q45474236,Q42740
Q45474353,Q42740
